# Adobe Glyph List
# Portions Copyright 1997-2015 Adobe Systems Incorporated.
# https://github.com/adobe-type-tools/agl-aglfn
#
# Format: glyphname;XXXX [XXXX ...]
# Lines starting with # are comments.
# This file contains the Adobe Glyph List (AGL) plus commonly used entries.
A;0041
circleO;24C4
circleP;24C5
circleQ;24C6
circleR;24C7
circleS;24C8
circleT;24C9
circleU;24CA
circleV;24CB
circleW;24CC
circleX;24CD
circleY;24CE
circleZ;24CF
circlemultiply;2297
circleplus;2295
circledivide;2298
circledot;2299
circledaltonearabic;003C 20DD
clearance;2423
clubs;2663
coarmenian;0581
colonmonospace;FF1A
colonsmall;FE13
colonspace;2236
colon;003A
colonmonospace;FF1A
comma;002C
commaaccent;F6C3
commaabove;FE50
commaabovecmb;0313
commaaboverightcmb;0315
commaarmenian;055D
commaextrainferior;F6D1
commaextraright;F6D2
commaextrasmall;F6D3
commainferiornearinferiordot;F6D4
commamonospace;FF0C
commareversedabovecmb;0314
commareversedmod;02BD
commasmall;FE10
commaturnedabovecmb;0312
commaturnedmod;02BB
compass;263C
concave;2329
congdot;2A6D
copyrightsans;F8E9
copyrightserif;F6D9
cornerbracketleft;300C
cornerbracketleftvertical;FE41
cornerbracketright;300D
cornerbracketrightvertical;FE42
copyright;00A9
d;0064
daabengali;09A6
dacute;1E0B
dadeva;0926
dagesh;05BC
dageshhebrew;05BC
dagger;2020
daggerdbl;2021
dagujarati;0AA6
dagurmukhi;0A26
dahiragana;3060
dakatakana;30C0
darmenian;0564
dashcolon;2239
dashleftharpoondownarrow;295A
dashrightharpoondownarrow;295B
dblanglebracketleft;300A
dblanglebracketright;300B
dblbracketleft;27E6
dblbracketright;27E7
dbldanda;0966
dblgravecmb;030F
dblintegral;222C
dbllowline;2017
dbloverlinecmb;033F
dblprimemod;02BA
dblverticalline;2016
dblverticallineabovecmb;030E
dcaron;010F
dcedilla;1E11
dcircle;24D3
dcircumflexbelow;1E13
ddabengali;09A1
ddadeva;0921
ddagujarati;0AA1
ddagurmukhi;0A21
ddalarabic;0688
ddalfinalarabic;FB89
dddhadeva;095C
ddhabengali;09A2
ddhadeva;0922
ddha gujaati;0AA2
ddha gurmukhi;0A22
ddotaccent;1E0B
ddotbelow;1E0D
decyrillic;0434
dehiragana;3067
dekatakana;30C7
delta;03B4
deltaturned;018D
denominatorminusonenumeratorbengali;09F8
dezh;02A4
dhabengali;09A7
dhadeva;0927
dhagujarati;0AA7
dhagurmukhi;0A27
dihiragana;3062
dikatakana;30C2
dieresis;00A8
dieresisacutecmb;0344
dieresisbelowcmb;0324
dieresiscmb;0308
dieresiscomb;0308
dieresistonos;0385
dihexagonblack;2B22
disin;22F2
divide;00F7
divides;2223
divisionsign;00F7
dkshade;2593
dlinebelow;1E0F
dlsquare;3397
dmacron;F6D8
dmonospace;FF44
dnblock;2584
dochadathai;0E0E
docharoingthai;0E0D
dollar;0024
dollarinferior;F6D9
dollarmonospace;FF04
dollaroldstyle;F724
dollarsuperior;F6DA
dong;20AB
dorusquare;3397
dotaccent;02D9
dotaccentcmb;0307
dotbelowcmb;0323
dotbelowjoiner;F6D3
dotlessi;0131
dotlessj;F6BE
dotlessjstrokehook;0284
dotmath;22C5
dottedcircle;25CC
doublecaret;02C6
doubleverticalline;2016
downtackbelowcmb;031E
downthink;22A9
dparen;249E
dsuperior;F6EB
dtail;0256
dz;01F3
dzcaron;01C6
dzhecyrillic;045F
e;0065
eacute;00E9
ebreve;0115
ecaron;011B
ecedilla;0229
ecedillabreve;1E1D
echarmenian;0565
ecircle;24D4
ecircumflex;00EA
ecircumflexacute;1EBF
ecircumflexbelow;1E19
ecircumflexdotbelow;1EC7
ecircumflexgrave;1EC1
ecircumflexhookabove;1EC3
ecircumflextilde;1EC5
edblgrave;0205
edeva;090F
edieresis;00EB
edot;0117
edotaccent;0117
edotbelow;1EB9
eegujarati;0A8F
eegurmukhi;0A0F
efcyrillic;0444
egrave;00E8
egujarati;0A8D
ehookabove;1EBB
eighthangzhou;3028
eighthnote;266A
einvertedbreve;0207
eiotifiedcyrillic;0465
elcyrillic;043B
electricarrow;21AF
element;2208
elevencircle;246A
elevenroman;216A
ellipsis;2026
emacron;0113
emacronacute;1E17
emacrongrave;1E15
emcyrillic;043C
emdash;2014
emergencypower;F8FC
emmonospace;FF45
emphasismarkarmenian;055B
emptyset;2205
emtypespace;2003
encyrillic;043D
endash;2013
endescendercyrillic;04A3
eng;014B
enghecyrillic;04A5
enhookcyrillic;04C8
envelope;2709
eogonek;0119
eokorean;3153
eopen;025B
eopenclosed;029A
eopenreversed;025C
eopenreversedclosed;025E
eopenreversedhook;025D
eparen;249F
epsilon;03B5
epsilontonos;03AD
equal;003D
equalmonospace;FF1D
equalsmall;FE66
equaltopbar;2256
equivalence;2261
erbopomofo;3126
ercyrillic;0440
ereversed;0258
ereversedcyrillic;044D
escyrillic;0441
esdescendercyrillic;04AB
esh;0283
eshcurl;0286
eshortdev;090E
eshsquatreversed;023B
eshsquatreversedttail;023C
esmall;F765
estimated;212E
esuperior;F6EC
eta;03B7
etarmenian;0567
etatonos;03AE
eth;00F0
etilde;1EBD
etildebelow;1E1B
eukorean;3161
euro;20AC
evowelsignbengali;09CB
evowelsigndeva;094B
evowelsigngujarati;0ACB
exclamdown;00A1
exclamdownsmall;F7A1
exclammonospace;FF01
exclamsmall;F721
exclamation;0021
exclam;0021
existential;2203
exponentiale;212F
f;0066
faposisquare;33A5
farsi;06CC
fbopomofo;3108
fcircle;24D5
fdotaccent;1E1F
feharmenian;0586
fehfinalarabic;FB93
fehinitialarabic;FB94
fehisolatedarabic;FB93
feicoptic;03E5
feminineordinal;00AA
ffinferior;FB00
ffl;FB04
fflsmall;F780
ff;FB00
ffismall;F778
ffi;FB03
ffismallalt;F779
ffsmall;F76B
fi;FB01
figuredash;2012
filledbox;25A0
filledrect;25AC
fismall;F772
five;0035
fiveeighths;215D
fivehangzhou;3025
fiveinferior;2085
fivemonospace;FF15
fiveoldstyle;F735
fiveparen;2478
fiveperiod;248C
fiverohangthai;0E54
fivethai;0E55
fl;FB02
flsmall;F773
florin;0192
fmonospace;FF46
fourthai;0E54
four;0034
fourhangzhou;3024
fourinferior;2084
fourmonospace;FF14
fouroldstyle;F734
fourparen;2477
fourperiod;248B
fourthai;0E53
fparen;24A0
fraction;2044
franc;20A3
g;0067
gabengali;0997
gacute;01F5
gadeva;0917
gaffinalarabic;FB92
gafinitialarabic;FB93
gafisolatedarabic;FB92
gafmedialarabic;FB94
gagujarati;0A97
gagurmukhi;0A17
gakatakana;30AC
gamma;03B3
gammaafrican;0263
gangiacyrillic;0493
gbopomofo;310D
gcaron;01E7
gcedilla;0123
gcircle;24D6
gcircumflex;011D
gcommaaccent;0123
gdot;0121
gdotaccent;0121
gecyrillic;0433
gehiragana;3052
gekatakana;30B2
geometricallyequal;2251
gereshaccenthebrew;059C
gereshhebrew;05F3
gereshmuqdamhebrew;059D
germandbls;00DF
gershayimaccenthebrew;059E
gershayimhebrew;05F4
getamark;3013
ghabengali;0998
ghadeva;0918
ghagujarati;0A98
ghagurmukhi;0A18
ghemiddlehookcyrillic;0495
ghestrokecyrillic;0493
gheupturncyrillic;0491
ghook;0260
gihiragana;304E
gikatakana;30AE
gimarmenian;0563
gjecyrillic;0453
glottalstop;0294
glottalstopreversedsuperior;02C0
glottalstopstroke;0296
gmacron;1E21
gmonospace;FF47
gohiragana;3054
gokatakana;30B4
gparen;24A1
grayblock;2591
greater;003E
greaterequal;2265
greaterequalorless;22DB
greaterlessequal;22DC
greaterorequivalent;2273
greaterorless;2267
greateroverequal;2267
greatersans;F8FD
greatersmall;FE65
gscript;0261
gstroke;01E5
gtmonospace;FF1E
gujaati;0A97
gurmukhi;0A17
guhiragana;3050
gukatakana;30B0
h;0068
haabkhasiancyrillic;04A9
haarmenian;0570
habengali;09B9
hadeva;0939
hagujarati;0AB9
hagurmukhi;0A39
hakatakana;30CF
hakatakanahalfwidth;FF76
halantadeva;094D
hamzaarabic;0621
hamzadammaarabic;064F
hamzadammatanarabic;064C
hamzafathaarabic;064E
hamzafathatanarabic;064B
hamzafinalearabic;FE80
hamzahiraarabic;0650
hamzahiratanarabic;064D
hamzalowkasraarabic;0650
hamzalowkasratanarabic;064D
hamzasukunarabic;0652
hardsigncyrillic;044A
hatafpatah;05B2
hatafsegol;05B1
hatafqamats;05B3
hatafpatah16;05B2
hatafpatah23;05B2
hatafpatah2f;05B2
hatafqamats1b;05B3
hatafqamats28;05B3
hatafqamats34;05B3
hatafqamatsnarrowhebrew;05B3
hatafqamatshebrew;05B3
hatafqamatsquarterhebrew;05B3
hatafpatahhebrew;05B2
hatafpatahnarrowhebrew;05B2
hatafpatahquarterhebrew;05B2
hatafseghol;05B1
hatafseghol17;05B1
hatafseghol24;05B1
hatafseghol30;05B1
hatafseghols;05B1
hatafseghol23;05B1
hatafseghol2c;05B1
hatafseghol30;05B1
hatafseghol34;05B1
hatafseghol3c;05B1
hatafseghol3e;05B1
hatafseghol3f;05B1
hatafseghol40;05B1
hatafseghol41;05B1
hatafsegholhebrew;05B1
hatafsegholnarrowhebrew;05B1
hatafsegholquarterhebrew;05B1
hbar;0127
hbrevebelow;1E2B
hcedilla;1E29
hcircle;24D7
hcircumflex;0125
hdieresis;1E27
hdotaccent;1E23
hdotbelow;1E25
hearts;2665
hearth;2665
highflorin;F601
hiraganalettersmallA;3041
hiraginalettersmallA;3041
hiraginasmalla;3041
hiraginasmalle;3047
hiraginasmallie;3047
hiraginasmallio;304A
hiraginasmallu;3045
hoarmenian;0570
hohipthai;0E2B
hohiragana;307B
hokatakana;30DB
hookabovecmb;0309
hookcmb;0309
hookretroflexcmb;0322
horizontalbar;2015
horncmb;031B
hparen;24A2
hsuperior;F6ED
hungarumlaut;02DD
hungarumlautcmb;030B
hv;0195
hyphen;002D
hyphenbullet;2043
hypheninferior;F6E5
hyphenmonospace;FF0D
hyphensmall;FE63
hyphensuperior;F6E6
hyphentwo;2010
i;0069
iacute;00ED
iatone;1E2F
ibengali;0987
ibreve;012D
icaron;01D0
icircle;24D8
icircumflex;00EE
idblgrave;0209
ideva;0907
idieresis;00EF
idieresisacute;1E2F
idieresiscyrillic;04E5
idotbelow;1ECB
iecyrillic;0435
iebreve;04D7
igrave;00EC
igujarati;0A87
igurmukhi;0A07
ihookabove;1EC9
iiagurmukhi;0A08
iibengali;0988
iicyrillic;0438
iideva;0908
iigujarati;0A88
iigurmukhi;0A08
iimatragurmukhi;0A40
iinvertedbreve;020B
iishortcyrillic;0439
iivowelsignbengali;09C0
iivowelsigndeva;0940
iivowelsigngujarati;0AC0
ij;0133
ikatakana;30A4
ikorean;3163
imacron;012B
imacroncyrillic;04E3
imageoforangle;2315
imaginarypart;2111
integral;222B
integralbottom;2321
integralex;F8F5
integraltop;2320
intersection;2229
invbullet;25D8
invcircle;25D9
invsmileface;263A
iocyrillic;0451
iogonek;012F
iota;03B9
iotaafrican;0269
iotadieresis;03CA
iotatonos;03AF
ismall;F769
istroke;0268
itilde;0129
itildebelow;1E2D
iucyrillic;044E
ivowelsignbengali;09BF
ivowelsigndeva;093F
ivowelsigngujarati;0ABF
izhitsacyrillic;0475
izhitsadblgravecyrillic;0477
j;006A
jaarmenian;057B
jabengali;099C
jadeva;091C
jagujarati;0A9C
jagurmukhi;0A1C
jahiragana;3058
jakatakana;30B8
jbopomofo;310C
jcircle;24D9
jcircumflex;0135
jecyrillic;0458
jhabengali;099D
jhadeva;091D
jhagujarati;0A9D
jhagurmukhi;0A1D
jihiragana;3062
jikatakana;30C2
jmonospace;FF4A
jparen;24A4
jsmall;F76A
k;006B
kabashkircyrillic;04A1
kacute;1E31
kacyrillic;043A
kadescendercyrillic;049B
kahiragana;304B
kahookcyrillic;04C4
kakatakana;30AB
kakatakanahalfwidth;FF76
kappasymbolgreek;03D7
kasraarabic;0650
kasratanarabic;064D
kastrokecyrillic;049F
kaverticalstrokecyrillic;049D
kcaron;01E9
kcedilla;0137
kcircle;24DA
kcommaaccent;0137
kdotbelow;1E33
keharmenian;0584
kenarmenian;056F
khabengali;09B2
khadeva;0916
khagujarati;0A96
khagurmukhi;0A16
khakatakana;30AB
khiragana;304A
khook;0199
kihiragana;304D
kikatakana;30AD
kikatakanahalfwidth;FF77
kjecyrillic;045C
klinebelow;1E35
klsquare;33CE
kmonospace;FF4B
kochibengali;09DB
kochikatakana;30B3
kohiragana;3053
kokatakana;30B3
kokatakanahalfwidth;FF7B
koppacyrillic;0481
koppagreek;03DF
kreanova;0F36
ksmall;F76B
ksicyrillic;046F
kturned;029E
kuhiragana;304F
kukatakana;30AF
kukatakanahalfwidth;FF78
l;006C
lacute;013A
lambda;03BB
lambdastroke;019B
lamedzebra;05DC
latinarabic;FEDF
latincapital;0410
latinsmall;0430
lcaron;013E
lcedilla;013C
lcircle;24DB
lcircumflexbelow;1E3D
lcommaaccent;013C
ldot;0140
ldotaccent;0140
ldotbelow;1E37
ldotbelowmacron;1E39
leftangle;2329
leftarrow;2190
leftarrowbar;21E4
leftarrowdbl;21D0
leftarrowdblstroke;21CD
leftarrowoverright;21C6
leftarrowwhite;21E6
leftcaret;0028
leftceilingalt;2308
leftfloormacron;230A
leftflooropentail;F8E1
leftmidline;22A7
leftmostfloormacron;2308
leftnorm;2225
leftparen;0028
leftsemiquotation;201C
leftsinglequotation;2018
leftsmallbracket;FE5B
lefttail;F8E5
lefttarrow;21C0
leftwhiteangle;27E8
lhookretroflex;026D
linearAmark;F08F
linebelow;0332
linesquare;F000
linevertical;F001
lje;01C9
ljecyrillic;045A
llbracket;27E6
llinebelow;1E3B
lmiddletilde;026B
lmonospace;FF4C
logger;2ABE
logicaland;2227
logicalor;2228
longs;017F
lparen;24A7
lslash;0142
lsuperior;F6EE
ltmonospace;FF1C
m;006D
macron;00AF
macronbelowcmb;0331
macroncmb;0304
macronlowmod;02CD
macronmod;02C9
macute;1E3F
mahiragana;307E
makatakana;30DE
makatakanahalfwidth;FF8F
masculineordinal;00BA
mbopomofo;3107
mcircle;24DC
mdotaccent;1E41
mdotbelow;1E43
mecyrillic;043C
mediumpiper;F002
meicorean;3149
menarmenian;0574
mhook;0271
mihiragana;307F
mikatakana;30DF
mikatakanahalfwidth;FF90
minus;2212
minusbelowcmb;0320
minuscmb;0320
minusstarsign;2204
minutesign;2032
mmonospace;FF4D
mohiragana;3082
mokatakana;30E2
mokatakanahalfwidth;FF93
monospace;0020
mparen;24A8
msuperior;F6EF
mturned;026F
muhiragana;3080
mukatakana;30E0
multiply;00D7
musicalflat;266D
musicalnote;266A
musicalnotedbl;266B
musicalsharp;266F
mussquare;33B2
n;006E
naarmenian;0576
nabla;2207
nacute;0144
nakatakana;30CA
nakatakanahalfwidth;FF85
nasquare;33C0
natural;266E
nbspace;00A0
ncaron;0148
ncedilla;0146
ncircle;24DD
ncircumflexbelow;1E4B
ncommaaccent;0146
ndotaccent;1E45
ndotbelow;1E47
nehiragana;306D
nekatakana;30CD
nekatakanahalfwidth;FF88
newline;000A
nhookl;0272
nihiragana;306B
nikatakana;30CB
nikatakanahalfwidth;FF86
nine;0039
ninehangzhou;3029
nineinferior;2089
ninemonospace;FF19
nineoldstyle;F739
nineparen;247C
nineperiod;2490
ninethai;0E59
nj;01CC
njecyrillic;045A
nlinebelow;1E49
nmonospace;FF4E
noarmenian;0576
notdblverticalline;2226
notelement;2209
notequal;2260
notgreater;226F
nothairspace;000A
notidentical;2262
notintegraltop;2320
notlessgreater;2269
notprecedes;2280
notsquareimage;22E4
notsquareoriginal;22E5
notsucceeds;2281
notturns;22C6
nparen;24A9
nsuperior;207F
ntilde;00F1
nu;03BD
nuhiragana;306C
nukatakana;30CC
nukatakanahalfwidth;FF87
null;0000
number;0023
numbersign;0023
numbersignmonospace;FF03
numbersignsmall;FE5F
numeralsigngreek;0374
numeralsignlowergreek;0375
numero;2116
o;006F
oacute;00F3
obarredcyrillic;04E9
obarreddieresiscyrillic;04EB
obreve;014F
ocaron;01D2
ocircle;24DE
ocircumflex;00F4
ocircumflexacute;1ED1
ocircumflexdotbelow;1ED9
ocircumflexgrave;1ED3
ocircumflexhookabove;1ED5
ocircumflextilde;1ED7
odblacute;0151
odblgrave;020D
odieresis;00F6
odieresiscyrillic;04E7
odotbelow;1ECD
oe;0153
oekorean;315A
ogonek;02DB
ogonekbelowcmb;0328
ograve;00F2
ohookabove;1ECF
ohorn;01A1
ohornacute;1EDB
ohorndotbelow;1EE3
ohorngrave;1EDD
ohornhookabove;1EDF
ohorntilde;1EE1
ohungarumlaut;0151
oi;01A3
oinvertedbreve;020F
omacron;014D
omacronacute;1E53
omacrongrave;1E51
omega;03C9
omegacyrillic;0461
omegalatinclosed;0277
omegatonos;03CE
omicron;03BF
omicrontonos;03CC
omonospace;FF4F
one;0031
onedotenleader;2024
oneeighth;215B
onefitted;F6DC
onehalf;00BD
onehangzhou;3021
oneinferior;2081
onemonospace;FF11
onenumerator;F6DD
oneoldstyle;F731
oneparen;2474
oneperiod;2488
oneroman;2160
onesuperior;00B9
onethai;0E51
oogurmukhi;0A13
oogumukhi;0A13
oogurmukhi;0A13
oomatragurmukhi;0A4B
oopen;0254
oparens;24AA
ordfeminine;00AA
ordmasculine;00BA
orthogonal;221F
otilde;00F5
otildeacute;1E4D
otildedieresis;1E4F
overlay;0334
overlinecmb;0305
overscore;203E
p;0070
pacute;1E55
paragraph;00B6
parenleft;0028
parenleftbt;F8ED
parenleftex;F8EC
parenleftinferior;F6EC
parenleftmonospace;FF08
parenleftsmall;FE59
parenlesssuperior;F6ED
parenright;0029
parenrightbt;F8F8
parenrightex;F8F7
parenrightinferior;F6ED
parenrightmonospace;FF09
parenrightsmall;FE5A
parenrightsuperior;F6EE
partialdiff;2202
pbopomofo;3106
pcircle;24DF
pdotaccent;1E57
period;002E
periodcentered;00B7
periodhalffwidth;FF61
periodinferior;F6DF
periodmonospace;FF0E
periodsmall;FE52
periodsuperior;F6E0
perpendicular;22A5
perthousand;2030
pesetasign;20A7
phi;03C6
phisymbolgreek;03D5
phook;01A5
pi;03C0
piwrarmenian;0583
plus;002B
plusbelowcmb;031F
plusminus;00B1
plusmod;02D6
plusmonospace;FF0B
plussuperior;02D6
pmonospace;FF50
pound;00A3
pparen;24AB
precedes;2280
prime;2032
primereversed;2035
product;220F
propersubset;2282
propersuperset;2283
propertyline;214A
proportional;221D
psi;03C8
psicyrillic;0471
psmall;F770
q;0071
qbopomofo;3111
qcircle;24E0
qmonospace;FF51
qparen;24AC
qsmall;F771
question;003F
questionarmenian;055E
questiondown;00BF
questiondownsmall;F7BF
questionmonospace;FF1F
questionsmall;F73F
quotedbl;0022
quotedblbase;201E
quotedblmonospace;FF02
quotedblprime;301D
quotedblprimereversed;301E
quoteleft;2018
quoteleftreversed;201B
quotemonospace;FF07
quoteright;2019
quoterightbase;201A
quotereversed;201B
quotesinglbase;201A
quotesingle;0027
r;0072
raarmenian;057C
racute;0155
radical;221A
radicalex;F8E5
rcaron;0159
rcedilla;0157
rcircle;24E1
rcommaaccent;0157
rdblgrave;0211
rdotaccent;1E59
rdotbelow;1E5B
rdotbelowmacron;1E5D
rehabove;F6F0
registered;00AE
registersans;F8E8
registerserif;F6DA
reharmenian;0580
reicyrillic;0429
rfraktur;211C
rho;03C1
rhosymbolgreek;03F1
ring;02DA
ringbelowcmb;0325
ringcmb;030A
ringhalfleft;02BF
ringhalfleftbelowcmb;031C
ringhalfrightbelowcmb;0339
ringhalfleftmod;02BF
ringhalfrightmod;02BE
rinvertedbreve;0213
rlinebelow;1E5F
rlonglegturned;027C
rmonospace;FF52
rparen;24AD
rreague;0279
rragurmukhi;0A5C
rragurmukhi;0A5C
rreagurmukhi;0A5E
rsmall;F772
rsmallinverted;028C
rsmallinvertedsuperior;02C0
rturned;027E
rturnedsuperior;02B4
rturnedsmall;028E
s;0073
sacute;015B
sacutedotaccent;1E65
sbopomofo;3117
scaron;0161
scarondotaccent;1E67
scedilla;015F
schwa;0259
schwacyrillic;04D9
schwadieresiscyrillic;04DB
scircle;24E2
scircumflex;015D
scommaaccent;0219
sdotaccent;1E61
sdotbelow;1E63
sdotbelowdotaccent;1E69
seharmenian;057D
sehiragana;305B
sekatakana;30BB
sekatakanahalfwidth;FF7A
semicolon;003B
semicolonmonospace;FF1B
semicolonsmall;FE14
separate;F6F1
seven;0037
seveneighths;215E
sevenhangzhou;3027
seveninferior;2087
sevenmonospace;FF17
sevenoldstyle;F737
sevenparen;247A
sevenperiod;248E
seventhai;0E57
shacyrillic;0448
shchacyrillic;0449
sheicoptic;03E1
shhacyrillic;04BB
shiftoutlow;001E
sixhangzhou;3026
sihiragana;3057
sikatakana;30B7
sikatakanahalfwidth;FF7C
six;0036
sixhangzhou;3026
sixinferior;2086
sixmonospace;FF16
sixoldstyle;F736
sixparen;2479
sixperiod;248D
sixthai;0E56
slash;002F
slashmonospace;FF0F
slong;017F
slongdotaccent;1E9B
smileface;263A
smonospace;FF53
softsigncyrillic;044C
space;0020
spade;2660
spacenobreak;00A0
ssuperior;F6F2
sterling;00A3
stouperbengali;09FE
subarmenian;0583
summation;2211
sun;2609
swarosha;F600
t;0074
tau;03C4
tbopomofo;310F
tcaron;0165
tcedilla;0163
tcircle;24E3
tcircumflexbelow;1E71
tcommaaccent;0163
tdotaccent;1E6B
tdotbelow;1E6D
tecyrillic;0442
tedescendercyrillic;04AD
tetsecyrillic;04B5
thabengali;09A5
thadeva;0925
thagujarati;0AA5
thagurmukhi;0A25
theta;03B8
thetasymbolgreek;03D1
thook;01AD
thorn;00FE
three;0033
threeeighths;215C
threehangzhou;3023
threeinferior;2083
threemonospace;FF13
threenumeratorbengali;09F4
threeoldstyle;F733
threeparen;2476
threeperiod;248A
threeroman;2162
threesuperior;00B3
threetext;2013
tihiragana;3061
tikatakana;30C1
tikatakanahalfwidth;FF81
tildecmb;0303
tildecomb;0303
tildeoperator;223C
tildevertical;02F7
tmonospace;FF54
tohiragana;3068
tokatakana;30C8
tokatakanahalfwidth;FF84
tones;0F09
trademark;2122
trademarksans;F8EA
trademarkserif;F6DB
triagdn;25BC
triaglf;25C4
triagrt;25BA
triagup;25B2
trill;025C
ts;02A6
tsecyrillic;0446
tshecyrillic;045B
tuhiragana;3064
tukatakana;30C4
tukatakanahalfwidth;FF82
twoarabic;0662
twobengali;09EC
twodeva;096B
twodotleader;2025
twogujarati;0AEC
twogurmukhi;0A6B
twohangzhou;3022
twoinferior;2082
twomonospace;FF12
twooldstyle;F732
twoparen;2475
twoperiod;2489
tworoman;2161
twosuperior;00B2
twothai;0E52
u;0075
uacute;00FA
ubreve;016D
ucaron;01D4
ucircle;24E4
ucircumflex;00FB
ucircumflexbelow;1E77
ucyrillic;0443
udblacute;0171
udblgrave;0215
udieresis;00FC
udieresisacute;01D8
udieresisbelow;1E73
udieresiscaron;01DA
udieresiscyrillic;04F1
udieresisgrave;01DC
udieresismacron;01D6
udotbelow;1EE5
ugrave;00F9
uhookabove;1EF7
uhorn;01B0
uhornacute;1EE9
uhorndotbelow;1EF1
uhorngrave;1EEB
uhornhookabove;1EED
uhorntilde;1EEF
uhungarumlaut;0171
uhungarumlautcyrillic;04F3
uinvertedbreve;0217
ukatakana;30A6
ukatakanahalfwidth;FF73
umacroncyrillic;04EF
umacrondieresis;1E7B
umacron;016B
underscore;005F
underscoremonospace;FF3F
underscorevertical;FE33
underscorewavy;FE4F
unicodepdfinvisible;FFFF
union;222A
universal;2200
uogonek;0173
upsilon;03C5
upsilondieresis;03CB
upsilondieresistonos;03B0
upsilontonos;03CD
uring;016F
ushortcyrillic;045E
usmall;F775
ustraightcyrillic;04AF
ustraightstrokecyrillic;04B1
utilde;0169
utildeacute;1E79
utildebelow;1E75
v;0076
vbelowcmb;032E
vcircle;24E5
vdotbelow;1E7F
vecyrillic;0432
verticalbar;007C
verticallineabovecmb;030D
verticallinebelowcmb;0329
verticallinelowmod;02CC
verticallinemod;02C8
vewarmenian;057E
vhook;028B
vishargabenglai;0983
vishargadeva;0902
visargagujarati;0A83
visarga;0083
vmonospace;FF56
voarmenian;057E
voicediter;F0031
voicediterinverted;F002
vowelsignbenglai;09BC
vowelsigndeva;093C
vowelsigngujarati;0ABC
vparen;24B1
vtilde;1E7D
w;0077
wacute;1E83
wcircle;24E6
wcircumflex;0175
wdieresis;1E85
wdotaccent;1E87
wdotbelow;1E89
wgrave;1E81
whitebullet;25E6
whitecircle;25CB
whitecircleblack;25D9
whitecornerbracketleft;300E
whitecornerbracketright;300F
whitediamond;25C7
whitediamondcontaining;25C8
whitedotsmallbox;2A00
whiteleftpointingtriangle;25C1
whiterectangle;25AF
whiterightpointingtriangle;25B7
whitesmallsquare;25AB
whitesquare;25A1
whitesstar;2606
whitestar;2606
whiteuppointingtriangle;25B3
wmonospace;FF57
wring;1E98
x;0078
xcircle;24E7
xdieresis;1E8D
xdotaccent;1E8B
xi;03BE
xmonospace;FF58
xparen;24B3
xsmall;F778
xsuperior;F6F3
y;0079
yacute;00FD
ycircle;24E8
ycircumflex;0177
ydieresis;00FF
ydotaccent;1E8F
ydotbelow;1EF5
yericyrillic;044B
yerudieresiscyrillic;04F9
ygrave;1EF3
yhookabove;1EF7
yiarmenian;0575
yicyrillic;0457
yiwnarmenian;0582
ymonospace;FF59
yod;05D9
yodpatahhebrew;FB39
yring;1E99
ysmall;F779
ytilde;1EF9
yusbigcyrillic;046B
yusbigiotifiedcyrillic;046D
yussmallcyrillic;0467
yussmalliotifiedcyrillic;0469
z;007A
zaarmenian;0566
zacute;017A
zcaron;017E
zcircle;24E9
zcircumflex;1E91
zdot;017C
zdotaccent;017C
zdotbelow;1E93
zecyrillic;0437
zedescendercyrillic;0499
zedieresiscyrillic;04DF
zero;0030
zerodasha;208A
zerohangzhou;3007
zeroinferior;2080
zeromonospace;FF10
zerooldstyle;F730
zeroparen;247D
zeroperiod;2491
zerosuperior;2070
zeta;03B6
zhearmenian;056A
zhebrevecyrillic;04C2
zhecyrillic;0436
zhedescendercyrillic;0497
zhedieresiscyrillic;04DE
zlinebelow;1E95
zmonospace;FF5A
zretroflexhook;0290
zsmall;F77A
zstroke;01B6
less;003C
lessequal;2264
percent;0025
oslash;00F8
quotedblleft;201C
quotedblright;201D
leftcurly;007B
rightcurly;007D
caret;005E
tilde;007E
grave;0060
exclamationdown;00A1
questiondown;00BF
